orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
DFU_H1	LE	42	Dermis	DFU	2096	554	554	0.075812274368231	DFU_H
DFU_H2	LE	27	Dermis	DFU	3614	1998	1998	0.0135135135135135	DFU_H
DFU_H3	LE	18	Dermis	DFU	6808	2916	2916	0.00617283950617284	DFU_H
DFU_H4	LE	7	Dermis	DFU	1538	693	693	0.0101010101010101	DFU_H
DFU_H5	LE	30	Dermis	DFU	3089	918	918	0.0326797385620915	DFU_H
DFU_H6	LE	12	Dermis	DFU	2543	1229	1229	0.0097640358014646	DFU_H
DFU_H7	LE	41	Dermis	DFU	3763	1151	1151	0.0356211989574283	DFU_H
DFU_NH1	LE	19	Dermis	DFU	1978	800	800	0.02375	DFU_NH
DFU_NH2	LE	29	Dermis	DFU	3892	1105	1105	0.0262443438914027	DFU_NH
DFU_NH3	LE	64	Dermis	DFU	7100	2323	2323	0.027550581145071	DFU_NH
DFU_NH4	LE	19	Dermis	DFU	2272	1237	1237	0.01535974130962	DFU_NH
H1	LE	26	Dermis	DFU	2644	747	747	0.034805890227577	H
H2	LE	28	Dermis	DFU	2251	1065	1065	0.0262910798122066	H
H3	LE	61	Dermis	DFU	6547	2726	2726	0.0223771093176816	H
H4	LE	55	Dermis	DFU	2724	1180	1180	0.0466101694915254	H
H5	LE	53	Dermis	DFU	7526	3478	3478	0.0152386428982174	H
H6	LE	16	Dermis	DFU	718	348	348	0.0459770114942529	H
H7	LE	89	Dermis	DFU	4848	2018	2018	0.0441030723488603	H
H8	LE	11	Dermis	DFU	1313	555	555	0.0198198198198198	H
H9	LE	32	Dermis	DFU	1474	559	559	0.0572450805008945	H
NS23	LE	50	Dermis	VU	2339	458	458	0.109170305676856	NS
NS24	LE	60	Dermis	VU	2451	1056	1056	0.0568181818181818	NS
NS36	LE	178	Dermis	VU	2332	1315	1315	0.135361216730038	NS
NS62E	LE	130	Dermis	VU	2420	973	973	0.13360739979445	NS
NS63D	LE	38	Dermis	VU	737	460	460	0.0826086956521739	NS
PWH26D0	LE	65	Dermis	AcuteWound	2427	458	2427	0.026782035434693	Skin
PWH26D1	LE	9	Dermis	AcuteWound	1129	144	1129	0.00797165633303809	Wound1
PWH26D30	LE	27	Dermis	AcuteWound	2061	268	2061	0.0131004366812227	Wound30
PWH26D7	LE	12	Dermis	AcuteWound	2622	210	2622	0.0045766590389016	Wound7
PWH27D0	LE	48	Dermis	AcuteWound	1607	300	1607	0.029869321717486	Skin
PWH27D1	LE	17	Dermis	AcuteWound	1782	145	1782	0.00953984287317621	Wound1
PWH27D30	LE	46	Dermis	AcuteWound	3282	244	3282	0.0140158439975625	Wound30
PWH27D7	LE	31	Dermis	AcuteWound	4046	267	4046	0.00766188828472566	Wound7
PWH28D0	LE	26	Dermis	AcuteWound	2182	209	2182	0.0119156736938588	Skin
PWH28D1	LE	9	Dermis	AcuteWound	1044	95	1044	0.00862068965517241	Wound1
PWH28D30	LE	41	Dermis	AcuteWound	4246	392	4246	0.00965614696184644	Wound30
PWH28D7	LE	26	Dermis	AcuteWound	3102	280	3102	0.00838168923275306	Wound7
VU1	LE	13	Dermis	VU	4871	1579	1579	0.00823305889803673	VU
VU4	LE	67	Dermis	VU	3599	2160	2160	0.0310185185185185	VU
VU5	LE	7	Dermis	VU	1893	481	481	0.0145530145530146	VU
VU6	LE	37	Dermis	VU	4361	517	517	0.0715667311411992	VU
DFU_H1	Pericytes	357	Dermis	DFU	2096	554	554	0.644404332129964	DFU_H
DFU_H2	Pericytes	1145	Dermis	DFU	3614	1998	1998	0.573073073073073	DFU_H
DFU_H3	Pericytes	1963	Dermis	DFU	6808	2916	2916	0.67318244170096	DFU_H
DFU_H4	Pericytes	202	Dermis	DFU	1538	693	693	0.291486291486291	DFU_H
DFU_H5	Pericytes	377	Dermis	DFU	3089	918	918	0.410675381263617	DFU_H
DFU_H6	Pericytes	798	Dermis	DFU	2543	1229	1229	0.649308380797396	DFU_H
DFU_H7	Pericytes	487	Dermis	DFU	3763	1151	1151	0.423110338835795	DFU_H
DFU_NH1	Pericytes	450	Dermis	DFU	1978	800	800	0.5625	DFU_NH
DFU_NH2	Pericytes	596	Dermis	DFU	3892	1105	1105	0.539366515837104	DFU_NH
DFU_NH3	Pericytes	602	Dermis	DFU	7100	2323	2323	0.259147653895824	DFU_NH
DFU_NH4	Pericytes	527	Dermis	DFU	2272	1237	1237	0.426030719482619	DFU_NH
H1	Pericytes	528	Dermis	DFU	2644	747	747	0.706827309236948	H
H2	Pericytes	218	Dermis	DFU	2251	1065	1065	0.204694835680751	H
H3	Pericytes	1573	Dermis	DFU	6547	2726	2726	0.577035950110051	H
H4	Pericytes	205	Dermis	DFU	2724	1180	1180	0.173728813559322	H
H5	Pericytes	1615	Dermis	DFU	7526	3478	3478	0.464347326049454	H
H6	Pericytes	91	Dermis	DFU	718	348	348	0.261494252873563	H
H7	Pericytes	919	Dermis	DFU	4848	2018	2018	0.455401387512389	H
H8	Pericytes	212	Dermis	DFU	1313	555	555	0.381981981981982	H
H9	Pericytes	185	Dermis	DFU	1474	559	559	0.330948121645796	H
NS23	Pericytes	163	Dermis	VU	2339	458	458	0.35589519650655	NS
NS24	Pericytes	379	Dermis	VU	2451	1056	1056	0.358901515151515	NS
NS36	Pericytes	493	Dermis	VU	2332	1315	1315	0.37490494296578	NS
NS62E	Pericytes	334	Dermis	VU	2420	973	973	0.343268242548818	NS
NS63D	Pericytes	172	Dermis	VU	737	460	460	0.373913043478261	NS
