orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
DFU_H1	FB_ELN_SFRP4	12	Dermis	DFU	2096	312	312	0.0384615384615385	DFU_H
DFU_H2	FB_ELN_SFRP4	18	Dermis	DFU	3614	1196	1196	0.0150501672240803	DFU_H
DFU_H3	FB_ELN_SFRP4	66	Dermis	DFU	6808	2305	2305	0.0286334056399132	DFU_H
DFU_H4	FB_ELN_SFRP4	5	Dermis	DFU	1538	140	140	0.0357142857142857	DFU_H
DFU_H5	FB_ELN_SFRP4	26	Dermis	DFU	3089	1645	1645	0.0158054711246201	DFU_H
DFU_H6	FB_ELN_SFRP4	15	Dermis	DFU	2543	335	335	0.0447761194029851	DFU_H
DFU_H7	FB_ELN_SFRP4	56	Dermis	DFU	3763	1442	1442	0.0388349514563107	DFU_H
DFU_NH1	FB_ELN_SFRP4	7	Dermis	DFU	1978	210	210	0.0333333333333333	DFU_NH
DFU_NH2	FB_ELN_SFRP4	15	Dermis	DFU	3892	812	812	0.0184729064039409	DFU_NH
DFU_NH3	FB_ELN_SFRP4	54	Dermis	DFU	7100	1510	1510	0.0357615894039735	DFU_NH
DFU_NH4	FB_ELN_SFRP4	23	Dermis	DFU	2272	785	785	0.0292993630573248	DFU_NH
H1	FB_ELN_SFRP4	13	Dermis	DFU	2644	851	851	0.0152761457109283	H
H2	FB_ELN_SFRP4	3	Dermis	DFU	2251	198	198	0.0151515151515152	H
H3	FB_ELN_SFRP4	33	Dermis	DFU	6547	1871	1871	0.0176376269374666	H
H4	FB_ELN_SFRP4	23	Dermis	DFU	2724	1161	1161	0.0198105081826012	H
H5	FB_ELN_SFRP4	50	Dermis	DFU	7526	1942	1942	0.0257466529351184	H
H6	FB_ELN_SFRP4	4	Dermis	DFU	718	156	156	0.0256410256410256	H
H7	FB_ELN_SFRP4	33	Dermis	DFU	4848	1377	1377	0.0239651416122004	H
H8	FB_ELN_SFRP4	7	Dermis	DFU	1313	426	426	0.0164319248826291	H
H9	FB_ELN_SFRP4	9	Dermis	DFU	1474	443	443	0.0203160270880361	H
NS23	FB_ELN_SFRP4	37	Dermis	VU	2339	1002	1002	0.0369261477045908	NS
NS24	FB_ELN_SFRP4	13	Dermis	VU	2451	669	669	0.0194319880418535	NS
NS36	FB_ELN_SFRP4	29	Dermis	VU	2332	707	707	0.041018387553041	NS
NS62E	FB_ELN_SFRP4	41	Dermis	VU	2420	1107	1107	0.037037037037037	NS
NS63D	FB_ELN_SFRP4	4	Dermis	VU	737	209	209	0.0191387559808612	NS
