orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
DFU_H1	Bas_I	22	Epidermis	DFU	2096	147	147	0.149659863945578	DFU_H
DFU_H2	Bas_I	29	Epidermis	DFU	3614	130	130	0.223076923076923	DFU_H
DFU_H3	Bas_I	52	Epidermis	DFU	6808	387	387	0.134366925064599	DFU_H
DFU_H4	Bas_I	56	Epidermis	DFU	1538	191	191	0.293193717277487	DFU_H
DFU_H5	Bas_I	63	Epidermis	DFU	3089	249	249	0.253012048192771	DFU_H
DFU_H6	Bas_I	88	Epidermis	DFU	2543	487	487	0.180698151950719	DFU_H
DFU_H7	Bas_I	48	Epidermis	DFU	3763	208	208	0.230769230769231	DFU_H
DFU_NH1	Bas_I	47	Epidermis	DFU	1978	131	131	0.358778625954198	DFU_NH
DFU_NH2	Bas_I	631	Epidermis	DFU	3892	1586	1586	0.397856242118537	DFU_NH
DFU_NH3	Bas_I	22	Epidermis	DFU	7100	144	144	0.152777777777778	DFU_NH
DFU_NH4	Bas_I	22	Epidermis	DFU	2272	139	139	0.158273381294964	DFU_NH
H1	Bas_I	15	Epidermis	DFU	2644	93	93	0.161290322580645	H
H2	Bas_I	324	Epidermis	DFU	2251	752	752	0.430851063829787	H
H3	Bas_I	284	Epidermis	DFU	6547	887	887	0.320180383314543	H
H4	Bas_I	35	Epidermis	DFU	2724	113	113	0.309734513274336	H
H5	Bas_I	302	Epidermis	DFU	7526	1274	1274	0.237048665620094	H
H6	Bas_I	30	Epidermis	DFU	718	114	114	0.263157894736842	H
H7	Bas_I	386	Epidermis	DFU	4848	1107	1107	0.348690153568202	H
H8	Bas_I	55	Epidermis	DFU	1313	161	161	0.341614906832298	H
H9	Bas_I	101	Epidermis	DFU	1474	287	287	0.35191637630662	H
NS23	Bas_I	901	Epidermis	VU	2900	2717	2717	0.331615752668384	NS
NS24	Bas_I	552	Epidermis	VU	2945	2779	2779	0.198632601655272	NS
NS36	Bas_I	1285	Epidermis	VU	3459	3248	3248	0.395628078817734	NS
NS62E	Bas_I	903	Epidermis	VU	2361	2078	2078	0.434552454282964	NS
NS63D	Bas_I	824	Epidermis	VU	2222	2040	2040	0.403921568627451	NS
PWH26D0	Bas_I	339	Epidermis	AcuteWound	1879	1705	1879	0.180415114422565	Skin
PWH26D1	Bas_I	701	Epidermis	AcuteWound	3658	3151	3658	0.191634773100055	Wound1
PWH26D30	Bas_I	252	Epidermis	AcuteWound	1409	1164	1409	0.178850248403123	Wound30
PWH26D7	Bas_I	255	Epidermis	AcuteWound	1981	1697	1981	0.128722867238768	Wound7
PWH27D0	Bas_I	238	Epidermis	AcuteWound	1712	1598	1712	0.139018691588785	Skin
PWH27D1	Bas_I	772	Epidermis	AcuteWound	4853	4263	4853	0.159076859674428	Wound1
PWH27D30	Bas_I	683	Epidermis	AcuteWound	2790	2456	2790	0.244802867383513	Wound30
PWH27D7	Bas_I	361	Epidermis	AcuteWound	2718	2408	2718	0.132818248712288	Wound7
PWH28D0	Bas_I	458	Epidermis	AcuteWound	1993	1729	1993	0.22980431510286	Skin
PWH28D1	Bas_I	645	Epidermis	AcuteWound	3632	3265	3632	0.177588105726872	Wound1
PWH28D30	Bas_I	287	Epidermis	AcuteWound	1756	1389	1756	0.163439635535308	Wound30
PWH28D7	Bas_I	507	Epidermis	AcuteWound	2539	2125	2539	0.199684915320993	Wound7
VU1	Bas_I	105	Epidermis	VU	421	289	289	0.363321799307959	VU
VU4	Bas_I	839	Epidermis	VU	3018	2540	2540	0.330314960629921	VU
VU5	Bas_I	511	Epidermis	VU	2070	1848	1848	0.276515151515151	VU
VU6	Bas_I	393	Epidermis	VU	1868	1723	1723	0.228090539756239	VU
DFU_H1	Bas_mig	3	Epidermis	DFU	2096	147	147	0.0204081632653061	DFU_H
DFU_H2	Bas_mig	6	Epidermis	DFU	3614	130	130	0.0461538461538462	DFU_H
DFU_H3	Bas_mig	24	Epidermis	DFU	6808	387	387	0.062015503875969	DFU_H
DFU_H4	Bas_mig	6	Epidermis	DFU	1538	191	191	0.031413612565445	DFU_H
DFU_H5	Bas_mig	6	Epidermis	DFU	3089	249	249	0.0240963855421687	DFU_H
DFU_H6	Bas_mig	29	Epidermis	DFU	2543	487	487	0.0595482546201232	DFU_H
DFU_H7	Bas_mig	9	Epidermis	DFU	3763	208	208	0.0432692307692308	DFU_H
DFU_NH1	Bas_mig	5	Epidermis	DFU	1978	131	131	0.0381679389312977	DFU_NH
DFU_NH2	Bas_mig	40	Epidermis	DFU	3892	1586	1586	0.0252206809583859	DFU_NH
DFU_NH3	Bas_mig	1	Epidermis	DFU	7100	144	144	0.00694444444444444	DFU_NH
DFU_NH4	Bas_mig	4	Epidermis	DFU	2272	139	139	0.0287769784172662	DFU_NH
H1	Bas_mig	3	Epidermis	DFU	2644	93	93	0.032258064516129	H
H2	Bas_mig	28	Epidermis	DFU	2251	752	752	0.0372340425531915	H
H3	Bas_mig	7	Epidermis	DFU	6547	887	887	0.00789177001127396	H
H4	Bas_mig	0	Epidermis	DFU	2724	113	113	0	H
H5	Bas_mig	16	Epidermis	DFU	7526	1274	1274	0.0125588697017268	H
H6	Bas_mig	1	Epidermis	DFU	718	114	114	0.0087719298245614	H
H7	Bas_mig	26	Epidermis	DFU	4848	1107	1107	0.023486901535682	H
H8	Bas_mig	0	Epidermis	DFU	1313	161	161	0	H
H9	Bas_mig	10	Epidermis	DFU	1474	287	287	0.0348432055749129	H
NS23	Bas_mig	108	Epidermis	VU	2900	2717	2717	0.0397497239602503	NS
NS24	Bas_mig	62	Epidermis	VU	2945	2779	2779	0.0223101835192515	NS
NS36	Bas_mig	181	Epidermis	VU	3459	3248	3248	0.0557266009852217	NS
NS62E	Bas_mig	27	Epidermis	VU	2361	2078	2078	0.0129932627526468	NS
NS63D	Bas_mig	53	Epidermis	VU	2222	2040	2040	0.0259803921568627	NS
PWH26D0	Bas_mig	12	Epidermis	AcuteWound	1879	1705	1879	0.00638637573177222	Skin
PWH26D1	Bas_mig	303	Epidermis	AcuteWound	3658	3151	3658	0.0828321487151449	Wound1
PWH26D30	Bas_mig	38	Epidermis	AcuteWound	1409	1164	1409	0.0269694819020582	Wound30
PWH26D7	Bas_mig	33	Epidermis	AcuteWound	1981	1697	1981	0.01665825340737	Wound7
PWH27D0	Bas_mig	19	Epidermis	AcuteWound	1712	1598	1712	0.0110981308411215	Skin
PWH27D1	Bas_mig	400	Epidermis	AcuteWound	4853	4263	4853	0.082423243354626	Wound1
PWH27D30	Bas_mig	72	Epidermis	AcuteWound	2790	2456	2790	0.0258064516129032	Wound30
PWH27D7	Bas_mig	66	Epidermis	AcuteWound	2718	2408	2718	0.0242825607064018	Wound7
PWH28D0	Bas_mig	11	Epidermis	AcuteWound	1993	1729	1993	0.00551931761164074	Skin
PWH28D1	Bas_mig	336	Epidermis	AcuteWound	3632	3265	3632	0.092511013215859	Wound1
PWH28D30	Bas_mig	37	Epidermis	AcuteWound	1756	1389	1756	0.0210706150341686	Wound30
PWH28D7	Bas_mig	80	Epidermis	AcuteWound	2539	2125	2539	0.0315084679007483	Wound7
VU1	Bas_mig	11	Epidermis	VU	421	289	289	0.0380622837370242	VU
VU4	Bas_mig	91	Epidermis	VU	3018	2540	2540	0.0358267716535433	VU
VU5	Bas_mig	158	Epidermis	VU	2070	1848	1848	0.0854978354978355	VU
VU6	Bas_mig	99	Epidermis	VU	1868	1723	1723	0.0574579222286709	VU
DFU_H1	Bas_prolif	6	Epidermis	DFU	2096	147	147	0.0408163265306122	DFU_H
DFU_H2	Bas_prolif	3	Epidermis	DFU	3614	130	130	0.0230769230769231	DFU_H
DFU_H3	Bas_prolif	8	Epidermis	DFU	6808	387	387	0.020671834625323	DFU_H
DFU_H4	Bas_prolif	5	Epidermis	DFU	1538	191	191	0.0261780104712042	DFU_H
DFU_H5	Bas_prolif	6	Epidermis	DFU	3089	249	249	0.0240963855421687	DFU_H
DFU_H6	Bas_prolif	16	Epidermis	DFU	2543	487	487	0.0328542094455852	DFU_H
DFU_H7	Bas_prolif	10	Epidermis	DFU	3763	208	208	0.0480769230769231	DFU_H
DFU_NH1	Bas_prolif	2	Epidermis	DFU	1978	131	131	0.0152671755725191	DFU_NH
DFU_NH2	Bas_prolif	17	Epidermis	DFU	3892	1586	1586	0.010718789407314	DFU_NH
DFU_NH3	Bas_prolif	1	Epidermis	DFU	7100	144	144	0.00694444444444444	DFU_NH
DFU_NH4	Bas_prolif	3	Epidermis	DFU	2272	139	139	0.0215827338129496	DFU_NH
H1	Bas_prolif	2	Epidermis	DFU	2644	93	93	0.021505376344086	H
H2	Bas_prolif	31	Epidermis	DFU	2251	752	752	0.0412234042553192	H
H3	Bas_prolif	6	Epidermis	DFU	6547	887	887	0.00676437429537768	H
H4	Bas_prolif	0	Epidermis	DFU	2724	113	113	0	H
