orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
DFU_H1	Bcell	35	Dermis	DFU	2096	444	444	0.0788288288288288	DFU_H
DFU_H2	Bcell	4	Dermis	DFU	3614	174	174	0.0229885057471264	DFU_H
DFU_H3	Bcell	21	Dermis	DFU	6808	308	308	0.0681818181818182	DFU_H
DFU_H4	Bcell	8	Dermis	DFU	1538	433	433	0.0184757505773672	DFU_H
DFU_H5	Bcell	2	Dermis	DFU	3089	95	95	0.0210526315789474	DFU_H
DFU_H6	Bcell	8	Dermis	DFU	2543	376	376	0.0212765957446809	DFU_H
DFU_H7	Bcell	7	Dermis	DFU	3763	386	386	0.0181347150259067	DFU_H
DFU_NH1	Bcell	11	Dermis	DFU	1978	398	398	0.0276381909547739	DFU_NH
DFU_NH2	Bcell	0	Dermis	DFU	3892	60	60	0	DFU_NH
DFU_NH3	Bcell	12	Dermis	DFU	7100	1369	1369	0.00876552227903579	DFU_NH
DFU_NH4	Bcell	0	Dermis	DFU	2272	65	65	0	DFU_NH
H1	Bcell	27	Dermis	DFU	2644	556	556	0.0485611510791367	H
H2	Bcell	0	Dermis	DFU	2251	71	71	0	H
H3	Bcell	9	Dermis	DFU	6547	283	283	0.0318021201413428	H
H4	Bcell	0	Dermis	DFU	2724	121	121	0	H
H5	Bcell	1	Dermis	DFU	7526	320	320	0.003125	H
H6	Bcell	1	Dermis	DFU	718	32	32	0.03125	H
H7	Bcell	2	Dermis	DFU	4848	71	71	0.028169014084507	H
H8	Bcell	0	Dermis	DFU	1313	44	44	0	H
H9	Bcell	0	Dermis	DFU	1474	40	40	0	H
NS23	Bcell	6	Dermis	VU	2339	410	410	0.0146341463414634	NS
NS24	Bcell	5	Dermis	VU	2451	248	248	0.0201612903225806	NS
NS36	Bcell	1	Dermis	VU	2332	69	69	0.0144927536231884	NS
NS62E	Bcell	0	Dermis	VU	2420	151	151	0	NS
NS63D	Bcell	1	Dermis	VU	737	30	30	0.0333333333333333	NS
PWH26D0	Bcell	6	Dermis	AcuteWound	2427	353	2427	0.00247218788627936	Skin
PWH26D1	Bcell	7	Dermis	AcuteWound	1129	207	1129	0.00620017714791851	Wound1
PWH26D30	Bcell	10	Dermis	AcuteWound	2061	392	2061	0.00485201358563804	Wound30
PWH26D7	Bcell	7	Dermis	AcuteWound	2622	522	2622	0.0026697177726926	Wound7
PWH27D0	Bcell	2	Dermis	AcuteWound	1607	205	1607	0.00124455507156192	Skin
PWH27D1	Bcell	10	Dermis	AcuteWound	1782	513	1782	0.00561167227833894	Wound1
PWH27D30	Bcell	2	Dermis	AcuteWound	3282	230	3282	0.000609384521633151	Wound30
PWH27D7	Bcell	18	Dermis	AcuteWound	4046	666	4046	0.00444883835887296	Wound7
PWH28D0	Bcell	2	Dermis	AcuteWound	2182	336	2182	0.000916590284142988	Skin
PWH28D1	Bcell	4	Dermis	AcuteWound	1044	279	1044	0.00383141762452107	Wound1
PWH28D30	Bcell	19	Dermis	AcuteWound	4246	521	4246	0.00447479981158738	Wound30
PWH28D7	Bcell	19	Dermis	AcuteWound	3102	816	3102	0.0061250805931657	Wound7
VU1	Bcell	81	Dermis	VU	4871	1493	1493	0.0542531815137307	VU
VU4	Bcell	39	Dermis	VU	3599	548	548	0.0711678832116788	VU
VU5	Bcell	2	Dermis	VU	1893	279	279	0.00716845878136201	VU
VU6	Bcell	11	Dermis	VU	4361	1048	1048	0.0104961832061069	VU
DFU_H1	ILC1_NK	47	Dermis	DFU	2096	444	444	0.105855855855856	DFU_H
DFU_H2	ILC1_NK	19	Dermis	DFU	3614	174	174	0.109195402298851	DFU_H
DFU_H3	ILC1_NK	23	Dermis	DFU	6808	308	308	0.0746753246753247	DFU_H
DFU_H4	ILC1_NK	23	Dermis	DFU	1538	433	433	0.0531177829099307	DFU_H
DFU_H5	ILC1_NK	8	Dermis	DFU	3089	95	95	0.0842105263157895	DFU_H
DFU_H6	ILC1_NK	45	Dermis	DFU	2543	376	376	0.11968085106383	DFU_H
DFU_H7	ILC1_NK	38	Dermis	DFU	3763	386	386	0.0984455958549223	DFU_H
DFU_NH1	ILC1_NK	37	Dermis	DFU	1978	398	398	0.092964824120603	DFU_NH
DFU_NH2	ILC1_NK	6	Dermis	DFU	3892	60	60	0.1	DFU_NH
DFU_NH3	ILC1_NK	106	Dermis	DFU	7100	1369	1369	0.0774287801314828	DFU_NH
DFU_NH4	ILC1_NK	6	Dermis	DFU	2272	65	65	0.0923076923076923	DFU_NH
H1	ILC1_NK	28	Dermis	DFU	2644	556	556	0.0503597122302158	H
H2	ILC1_NK	3	Dermis	DFU	2251	71	71	0.0422535211267606	H
H3	ILC1_NK	26	Dermis	DFU	6547	283	283	0.0918727915194346	H
H4	ILC1_NK	10	Dermis	DFU	2724	121	121	0.0826446280991736	H
H5	ILC1_NK	31	Dermis	DFU	7526	320	320	0.096875	H
H6	ILC1_NK	2	Dermis	DFU	718	32	32	0.0625	H
H7	ILC1_NK	10	Dermis	DFU	4848	71	71	0.140845070422535	H
H8	ILC1_NK	5	Dermis	DFU	1313	44	44	0.113636363636364	H
H9	ILC1_NK	1	Dermis	DFU	1474	40	40	0.025	H
NS23	ILC1_NK	19	Dermis	VU	2339	410	410	0.0463414634146341	NS
NS24	ILC1_NK	20	Dermis	VU	2451	248	248	0.0806451612903226	NS
NS36	ILC1_NK	1	Dermis	VU	2332	69	69	0.0144927536231884	NS
NS62E	ILC1_NK	17	Dermis	VU	2420	151	151	0.112582781456954	NS
NS63D	ILC1_NK	1	Dermis	VU	737	30	30	0.0333333333333333	NS
