orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
DFU_H1	Apoptotic	20	Dermis	DFU	2096	620	620	0.032258064516129	DFU_H
DFU_H2	Apoptotic	2	Dermis	DFU	3614	87	87	0.0229885057471264	DFU_H
DFU_H3	Apoptotic	38	Dermis	DFU	6808	768	768	0.0494791666666667	DFU_H
DFU_H4	Apoptotic	2	Dermis	DFU	1538	35	35	0.0571428571428571	DFU_H
DFU_H5	Apoptotic	9	Dermis	DFU	3089	147	147	0.0612244897959184	DFU_H
DFU_H6	Apoptotic	1	Dermis	DFU	2543	57	57	0.0175438596491228	DFU_H
DFU_H7	Apoptotic	20	Dermis	DFU	3763	525	525	0.0380952380952381	DFU_H
DFU_NH1	Apoptotic	15	Dermis	DFU	1978	244	244	0.0614754098360656	DFU_NH
DFU_NH2	Apoptotic	3	Dermis	DFU	3892	29	29	0.103448275862069	DFU_NH
DFU_NH3	Apoptotic	92	Dermis	DFU	7100	1575	1575	0.0584126984126984	DFU_NH
DFU_NH4	Apoptotic	0	Dermis	DFU	2272	23	23	0	DFU_NH
H1	Apoptotic	16	Dermis	DFU	2644	372	372	0.0430107526881721	H
H2	Apoptotic	5	Dermis	DFU	2251	61	61	0.0819672131147541	H
H3	Apoptotic	13	Dermis	DFU	6547	243	243	0.0534979423868313	H
H4	Apoptotic	1	Dermis	DFU	2724	25	25	0.04	H
H5	Apoptotic	15	Dermis	DFU	7526	288	288	0.0520833333333333	H
H6	Apoptotic	2	Dermis	DFU	718	20	20	0.1	H
H7	Apoptotic	7	Dermis	DFU	4848	126	126	0.0555555555555556	H
H8	Apoptotic	2	Dermis	DFU	1313	27	27	0.0740740740740741	H
H9	Apoptotic	2	Dermis	DFU	1474	15	15	0.133333333333333	H
NS23	Apoptotic	10	Dermis	VU	2339	381	381	0.026246719160105	NS
NS24	Apoptotic	19	Dermis	VU	2451	465	465	0.0408602150537634	NS
NS36	Apoptotic	9	Dermis	VU	2332	144	144	0.0625	NS
NS62E	Apoptotic	9	Dermis	VU	2420	204	204	0.0441176470588235	NS
NS63D	Apoptotic	3	Dermis	VU	737	31	31	0.0967741935483871	NS
PWH26D0	Apoptotic	8	Dermis	AcuteWound	2427	569	2427	0.00329625051503914	Skin
PWH26D1	Apoptotic	5	Dermis	AcuteWound	1129	390	1129	0.00442869796279894	Wound1
PWH26D30	Apoptotic	17	Dermis	AcuteWound	2061	359	2061	0.00824842309558467	Wound30
PWH26D7	Apoptotic	9	Dermis	AcuteWound	2622	770	2622	0.0034324942791762	Wound7
PWH27D0	Apoptotic	11	Dermis	AcuteWound	1607	379	1607	0.00684505289359054	Skin
PWH27D1	Apoptotic	7	Dermis	AcuteWound	1782	446	1782	0.00392817059483726	Wound1
PWH27D30	Apoptotic	25	Dermis	AcuteWound	3282	390	3282	0.00761730652041438	Wound30
PWH27D7	Apoptotic	15	Dermis	AcuteWound	4046	870	4046	0.0037073652990608	Wound7
PWH28D0	Apoptotic	16	Dermis	AcuteWound	2182	460	2182	0.00733272227314391	Skin
PWH28D1	Apoptotic	5	Dermis	AcuteWound	1044	321	1044	0.00478927203065134	Wound1
PWH28D30	Apoptotic	62	Dermis	AcuteWound	4246	612	4246	0.0146019783325483	Wound30
PWH28D7	Apoptotic	28	Dermis	AcuteWound	3102	850	3102	0.00902643455834945	Wound7
VU1	Apoptotic	54	Dermis	VU	4871	758	758	0.0712401055408971	VU
VU4	Apoptotic	6	Dermis	VU	3599	152	152	0.0394736842105263	VU
VU5	Apoptotic	19	Dermis	VU	1893	354	354	0.0536723163841808	VU
VU6	Apoptotic	22	Dermis	VU	4361	354	354	0.0621468926553672	VU
DFU_H1	cDC1	34	Dermis	DFU	2096	620	620	0.0548387096774194	DFU_H
DFU_H2	cDC1	4	Dermis	DFU	3614	87	87	0.0459770114942529	DFU_H
DFU_H3	cDC1	42	Dermis	DFU	6808	768	768	0.0546875	DFU_H
DFU_H4	cDC1	6	Dermis	DFU	1538	35	35	0.171428571428571	DFU_H
DFU_H5	cDC1	6	Dermis	DFU	3089	147	147	0.0408163265306122	DFU_H
DFU_H6	cDC1	8	Dermis	DFU	2543	57	57	0.140350877192982	DFU_H
DFU_H7	cDC1	19	Dermis	DFU	3763	525	525	0.0361904761904762	DFU_H
DFU_NH1	cDC1	75	Dermis	DFU	1978	244	244	0.307377049180328	DFU_NH
DFU_NH2	cDC1	1	Dermis	DFU	3892	29	29	0.0344827586206897	DFU_NH
DFU_NH3	cDC1	80	Dermis	DFU	7100	1575	1575	0.0507936507936508	DFU_NH
DFU_NH4	cDC1	4	Dermis	DFU	2272	23	23	0.173913043478261	DFU_NH
H1	cDC1	79	Dermis	DFU	2644	372	372	0.212365591397849	H
H2	cDC1	6	Dermis	DFU	2251	61	61	0.0983606557377049	H
H3	cDC1	28	Dermis	DFU	6547	243	243	0.11522633744856	H
H4	cDC1	2	Dermis	DFU	2724	25	25	0.08	H
H5	cDC1	36	Dermis	DFU	7526	288	288	0.125	H
H6	cDC1	1	Dermis	DFU	718	20	20	0.05	H
H7	cDC1	10	Dermis	DFU	4848	126	126	0.0793650793650794	H
H8	cDC1	0	Dermis	DFU	1313	27	27	0	H
H9	cDC1	0	Dermis	DFU	1474	15	15	0	H
NS23	cDC1	25	Dermis	VU	2339	381	381	0.0656167979002625	NS
NS24	cDC1	25	Dermis	VU	2451	465	465	0.0537634408602151	NS
NS36	cDC1	5	Dermis	VU	2332	144	144	0.0347222222222222	NS
NS62E	cDC1	9	Dermis	VU	2420	204	204	0.0441176470588235	NS
NS63D	cDC1	3	Dermis	VU	737	31	31	0.0967741935483871	NS
PWH26D0	cDC1	48	Dermis	AcuteWound	2427	569	2427	0.0197775030902349	Skin
PWH26D1	cDC1	14	Dermis	AcuteWound	1129	390	1129	0.012400354295837	Wound1
PWH26D30	cDC1	32	Dermis	AcuteWound	2061	359	2061	0.0155264434740417	Wound30
PWH26D7	cDC1	33	Dermis	AcuteWound	2622	770	2622	0.0125858123569794	Wound7
PWH27D0	cDC1	23	Dermis	AcuteWound	1607	379	1607	0.014312383322962	Skin
PWH27D1	cDC1	18	Dermis	AcuteWound	1782	446	1782	0.0101010101010101	Wound1
PWH27D30	cDC1	35	Dermis	AcuteWound	3282	390	3282	0.0106642291285801	Wound30
PWH27D7	cDC1	64	Dermis	AcuteWound	4046	870	4046	0.0158180919426594	Wound7
PWH28D0	cDC1	39	Dermis	AcuteWound	2182	460	2182	0.0178735105407883	Skin
PWH28D1	cDC1	13	Dermis	AcuteWound	1044	321	1044	0.0124521072796935	Wound1
PWH28D30	cDC1	63	Dermis	AcuteWound	4246	612	4246	0.0148374941121055	Wound30
PWH28D7	cDC1	82	Dermis	AcuteWound	3102	850	3102	0.026434558349452	Wound7
VU1	cDC1	19	Dermis	VU	4871	758	758	0.025065963060686	VU
VU4	cDC1	20	Dermis	VU	3599	152	152	0.131578947368421	VU
VU5	cDC1	22	Dermis	VU	1893	354	354	0.0621468926553672	VU
VU6	cDC1	15	Dermis	VU	4361	354	354	0.0423728813559322	VU
DFU_H1	cDC2	85	Dermis	DFU	2096	620	620	0.137096774193548	DFU_H
DFU_H2	cDC2	8	Dermis	DFU	3614	87	87	0.0919540229885057	DFU_H
DFU_H3	cDC2	71	Dermis	DFU	6808	768	768	0.0924479166666667	DFU_H
DFU_H4	cDC2	4	Dermis	DFU	1538	35	35	0.114285714285714	DFU_H
DFU_H5	cDC2	9	Dermis	DFU	3089	147	147	0.0612244897959184	DFU_H
DFU_H6	cDC2	9	Dermis	DFU	2543	57	57	0.157894736842105	DFU_H
DFU_H7	cDC2	49	Dermis	DFU	3763	525	525	0.0933333333333333	DFU_H
DFU_NH1	cDC2	17	Dermis	DFU	1978	244	244	0.069672131147541	DFU_NH
DFU_NH2	cDC2	4	Dermis	DFU	3892	29	29	0.137931034482759	DFU_NH
DFU_NH3	cDC2	132	Dermis	DFU	7100	1575	1575	0.0838095238095238	DFU_NH
DFU_NH4	cDC2	2	Dermis	DFU	2272	23	23	0.0869565217391304	DFU_NH
H1	cDC2	27	Dermis	DFU	2644	372	372	0.0725806451612903	H
H2	cDC2	7	Dermis	DFU	2251	61	61	0.114754098360656	H
H3	cDC2	27	Dermis	DFU	6547	243	243	0.111111111111111	H
H4	cDC2	4	Dermis	DFU	2724	25	25	0.16	H
H5	cDC2	50	Dermis	DFU	7526	288	288	0.173611111111111	H
H6	cDC2	4	Dermis	DFU	718	20	20	0.2	H
H7	cDC2	22	Dermis	DFU	4848	126	126	0.174603174603175	H
H8	cDC2	7	Dermis	DFU	1313	27	27	0.259259259259259	H
H9	cDC2	3	Dermis	DFU	1474	15	15	0.2	H
NS23	cDC2	53	Dermis	VU	2339	381	381	0.139107611548556	NS
NS24	cDC2	46	Dermis	VU	2451	465	465	0.0989247311827957	NS
NS36	cDC2	21	Dermis	VU	2332	144	144	0.145833333333333	NS
NS62E	cDC2	41	Dermis	VU	2420	204	204	0.200980392156863	NS
NS63D	cDC2	5	Dermis	VU	737	31	31	0.161290322580645	NS
PWH26D0	cDC2	179	Dermis	AcuteWound	2427	569	2427	0.0737536052740008	Skin
PWH26D1	cDC2	47	Dermis	AcuteWound	1129	390	1129	0.04162976085031	Wound1
PWH26D30	cDC2	113	Dermis	AcuteWound	2061	359	2061	0.0548277535177099	Wound30
PWH26D7	cDC2	172	Dermis	AcuteWound	2622	770	2622	0.0655987795575896	Wound7
PWH27D0	cDC2	132	Dermis	AcuteWound	1607	379	1607	0.0821406347230865	Skin
PWH27D1	cDC2	63	Dermis	AcuteWound	1782	446	1782	0.0353535353535354	Wound1
PWH27D30	cDC2	127	Dermis	AcuteWound	3282	390	3282	0.0386959171237051	Wound30
PWH27D7	cDC2	214	Dermis	AcuteWound	4046	870	4046	0.0528917449332674	Wound7
PWH28D0	cDC2	130	Dermis	AcuteWound	2182	460	2182	0.0595783684692942	Skin
PWH28D1	cDC2	39	Dermis	AcuteWound	1044	321	1044	0.0373563218390805	Wound1
PWH28D30	cDC2	164	Dermis	AcuteWound	4246	612	4246	0.0386245878473858	Wound30
PWH28D7	cDC2	174	Dermis	AcuteWound	3102	850	3102	0.0560928433268859	Wound7
VU1	cDC2	51	Dermis	VU	4871	758	758	0.0672823218997362	VU
VU4	cDC2	29	Dermis	VU	3599	152	152	0.190789473684211	VU
VU5	cDC2	31	Dermis	VU	1893	354	354	0.0875706214689266	VU
VU6	cDC2	45	Dermis	VU	4361	354	354	0.127118644067797	VU
DFU_H1	Cycling	21	Dermis	DFU	2096	620	620	0.0338709677419355	DFU_H
DFU_H2	Cycling	3	Dermis	DFU	3614	87	87	0.0344827586206897	DFU_H
DFU_H3	Cycling	16	Dermis	DFU	6808	768	768	0.0208333333333333	DFU_H
DFU_H4	Cycling	1	Dermis	DFU	1538	35	35	0.0285714285714286	DFU_H
DFU_H5	Cycling	4	Dermis	DFU	3089	147	147	0.0272108843537415	DFU_H
DFU_H6	Cycling	4	Dermis	DFU	2543	57	57	0.0701754385964912	DFU_H
DFU_H7	Cycling	7	Dermis	DFU	3763	525	525	0.0133333333333333	DFU_H
DFU_NH1	Cycling	13	Dermis	DFU	1978	244	244	0.0532786885245902	DFU_NH
DFU_NH2	Cycling	2	Dermis	DFU	3892	29	29	0.0689655172413793	DFU_NH
DFU_NH3	Cycling	35	Dermis	DFU	7100	1575	1575	0.0222222222222222	DFU_NH
DFU_NH4	Cycling	0	Dermis	DFU	2272	23	23	0	DFU_NH
H1	Cycling	11	Dermis	DFU	2644	372	372	0.0295698924731183	H
H2	Cycling	3	Dermis	DFU	2251	61	61	0.0491803278688525	H
H3	Cycling	12	Dermis	DFU	6547	243	243	0.0493827160493827	H
H4	Cycling	3	Dermis	DFU	2724	25	25	0.12	H
H5	Cycling	11	Dermis	DFU	7526	288	288	0.0381944444444444	H
H6	Cycling	1	Dermis	DFU	718	20	20	0.05	H
H7	Cycling	10	Dermis	DFU	4848	126	126	0.0793650793650794	H
H8	Cycling	3	Dermis	DFU	1313	27	27	0.111111111111111	H
H9	Cycling	0	Dermis	DFU	1474	15	15	0	H
NS23	Cycling	10	Dermis	VU	2339	381	381	0.026246719160105	NS
NS24	Cycling	8	Dermis	VU	2451	465	465	0.0172043010752688	NS
NS36	Cycling	5	Dermis	VU	2332	144	144	0.0347222222222222	NS
NS62E	Cycling	1	Dermis	VU	2420	204	204	0.00490196078431373	NS
NS63D	Cycling	2	Dermis	VU	737	31	31	0.0645161290322581	NS
PWH26D0	Cycling	18	Dermis	AcuteWound	2427	569	2427	0.00741656365883807	Skin
PWH26D1	Cycling	6	Dermis	AcuteWound	1129	390	1129	0.00531443755535872	Wound1
PWH26D30	Cycling	15	Dermis	AcuteWound	2061	359	2061	0.00727802037845706	Wound30
PWH26D7	Cycling	28	Dermis	AcuteWound	2622	770	2622	0.0106788710907704	Wound7
PWH27D0	Cycling	22	Dermis	AcuteWound	1607	379	1607	0.0136901057871811	Skin
PWH27D1	Cycling	4	Dermis	AcuteWound	1782	446	1782	0.00224466891133558	Wound1
